batch,2pfrdcbv - Epoch-avg,1vlwdpaf - Epoch-avg,3q5r1k4c - Epoch-avg,2ou7x7rk - Epoch-avg,2of8vzop - Epoch-avg,znl3k74z - Epoch-avg,dqa3ciqr - Epoch-avg,38tl42kk - Epoch-avg,3bpfsd8d - Epoch-avg,crmenqdd - Epoch-avg,wkv86ypm - Epoch-avg,cbcew5d9 - Epoch-avg,1kjkg864 - Epoch-avg,21lmx0bg - Epoch-avg,1wdqz6bc - Epoch-avg,23goukka - Epoch-avg,ur7wlzu9 - Epoch-avg,44b0bp7u - Epoch-avg,23xz4hxx - Epoch-avg,2rpe846y - Epoch-avg,2a1um07g - Epoch-avg,38ivexlk - Epoch-avg,6f7b1xzy - Epoch-avg,310hojhb - Epoch-avg,35lb2llj - Epoch-avg,1zvhc3c0 - Epoch-avg,13yoh3y3 - Epoch-avg,174wdx2b - Epoch-avg,21uke5qo - Epoch-avg,4gu1xe65 - Epoch-avg
22,-932.130401,-579.8279139,-999.2370277,-1414.395326,-1021.43475,-824.1425119,-844.5813922,-986.4297688,-989.3334969,-875.1799235,-1301.324223,-1210.077587,-897.4316835,-880.6572426,-1122.518048,-752.1271692,-1372.787494,-1462.592113,-1473.03817,-1068.038897,-970.6959872,-1422.257345,-1449.170606,-878.759387,-908.8949766,-934.2507653,-898.9043223,-579.7142621,-393.7375653,-854.7098975
23,-957.8116271,-732.1588935,-1067.230482,-1498.192209,-1167.627896,-904.3039709,-399.4810929,-861.7550978,-839.3114818,-715.7612914,-1333.937351,-1286.357096,-1216.528553,-780.2990094,-1092.472899,-904.5964968,-1598.906484,-1576.579943,-1468.043234,-963.5898552,-1169.279167,-1264.802329,-1391.363943,-844.9848888,-1043.665997,-1055.220766,-1310.723606,-744.8216936,-514.8051859,-774.1424578
24,-767.0905125,-1087.595416,-858.401082,-1339.076076,-1214.993155,-1001.915631,-588.957536,-795.5358006,-1000.74004,-821.5408082,-1335.500184,-1337.558334,-953.1357963,-1000.095977,-698.6297083,-714.9686744,-1215.006035,-1618.967177,-1340.138292,-1138.001427,-1217.048754,-1124.192444,-1279.481979,-830.0141981,-916.5146569,-949.4181674,-1013.547548,-721.8977168,-869.0780358,-742.2358986
25,-1140.697013,-658.1138783,-783.6123459,-1482.49649,-1204.99787,-735.3027908,-940.2433186,-974.7167146,-791.2422993,-1045.285135,-1486.827516,-1315.270999,-855.1604578,-1008.224757,-1054.626316,-760.2290687,-1341.447382,-1492.153683,-1480.63524,-1169.313302,-1140.622026,-1376.825374,-1223.150974,-988.3570763,-1004.457707,-916.2741441,-1171.258713,-715.4138833,-625.1134172,-389.4084086
26,-985.4842435,-1102.319862,-1028.364594,-1452.984035,-1508.476204,-1131.48986,-753.190258,-848.7778946,-858.323483,-1192.041999,-1283.569908,-1210.598201,-811.7740599,-616.0847001,-802.1348026,-637.3219659,-1535.843153,-1524.843518,-1417.756271,-929.5249054,-913.0477194,-851.0403461,-1116.940728,-784.229262,-986.7162389,-906.1013776,-1026.878038,-1132.998015,-725.5025415,-688.8759105
27,-976.1892811,-749.9978751,-1093.452689,-1466.231879,-1376.657525,-826.9926198,-599.3064154,-1043.657997,-951.0143894,-725.7982626,-1335.680112,-1198.538012,-1041.786021,-574.9293861,-786.4490641,-566.7076826,-1523.620071,-1478.137204,-1251.615395,-919.2558548,-1102.72968,-1190.586007,-1367.993053,-722.6096584,-1123.199199,-1185.873748,-1333.058339,-977.181759,-642.7043657,-739.1173859
28,-1209.371846,-595.3603313,-1032.478073,-1453.335328,-1096.73579,-627.9565976,-488.9597217,-1066.013923,-794.018014,-525.2164512,-1215.039632,-1283.373782,-1040.785637,-517.5203598,-847.4096544,-608.2676536,-1237.857534,-1611.549774,-1247.17648,-1118.577176,-863.2114369,-901.1137852,-1196.468892,-835.7381604,-1065.345567,-916.0048488,-1047.737903,-1039.240998,-643.7480773,-980.3961812
29,-903.3446442,-664.5984773,-1077.669767,-1437.381892,-1211.331044,-1065.953932,-928.2720294,-983.0058778,-710.210229,-990.7233415,-1321.432844,-1323.713227,-934.3668237,-936.8233836,-929.30319,-650.4799535,-1485.164264,-1469.57864,-1423.53775,-1071.632092,-1274.960033,-918.5777638,-1534.979753,-870.1301375,-989.5667936,-1038.035559,-815.9386323,-1052.7257,-585.8169815,-904.0473965
30,-927.8789128,-620.8073724,-1144.395716,-1508.84271,-1290.963443,-168.1514373,-729.0488462,-732.2444726,-585.7492425,-850.9789101,-1236.208646,-1425.859343,-941.0651871,-1182.083985,-842.8459983,-355.967235,-1531.567695,-1504.387178,-1463.35678,-1220.734022,-1112.022753,-1320.94446,-1455.241024,-697.2707735,-1232.443598,-1125.638766,-1073.454992,-944.7123027,-954.2552247,-926.1667128
31,-847.3385952,-165.2319357,-1157.536267,-1393.005637,-1200.919415,-364.4600424,-363.2039315,-792.8907022,-599.3939662,-553.4201996,-1139.977269,-1362.923491,-875.4108939,-748.4203703,-766.8341592,-596.7331908,-1375.134576,-1440.610376,-1305.59923,-1181.843371,-1074.970146,-1016.256837,-1586.349549,-775.6181133,-1228.737946,-911.5502343,-1040.954457,-861.1594163,-995.1375631,-998.9141027
32,-1063.773001,-560.3106877,-1366.75902,-1316.550546,-1144.788626,-1017.380925,-607.7671684,-1113.073285,-1164.296093,-776.9142642,-1187.329262,-1306.862766,-965.9076149,-662.4216999,-521.0028206,-960.4576603,-1486.65205,-1581.833521,-1450.578594,-1135.028784,-893.1996045,-1176.904379,-1568.746494,-865.9705286,-1300.754519,-950.094183,-952.0803925,-857.5887339,-1175.428353,-1136.878553
33,-954.5967629,-1167.048719,-1304.496725,-1380.462416,-1187.356798,-549.1865581,-618.0219803,-1154.78777,-968.4248332,-436.6551773,-1164.723997,-1394.760746,-855.9464798,-663.8333561,-1193.569448,-595.3639357,-1566.773657,-1432.980133,-1459.295742,-1085.056672,-757.771199,-1234.745918,-1486.244296,-694.0793361,-916.5701287,-922.3177623,-973.7866909,-783.1531523,-605.2927803,-1100.547353
34,-1240.034161,-318.935071,-1230.146767,-1397.269474,-1140.677908,-506.0943193,-548.0998434,-1172.206031,-739.961742,-1020.324806,-855.6598059,-1275.751501,-1162.943692,-932.1927777,-1203.578217,-652.0738657,-1310.177412,-1512.219359,-1639.091727,-1172.860054,-903.1784826,-1126.635993,-1543.471981,-848.0550404,-1018.727064,-998.632743,-897.2058737,-850.0036852,-650.826285,-1085.674483
35,-1096.533306,-488.0595215,-946.3017855,-1278.33267,-1269.357676,-718.802823,-920.667571,-1271.05437,-692.2222858,-651.6238192,-1164.358389,-1187.281458,-1252.643861,-892.3691888,-918.2564875,-1104.578861,-1405.232926,-1213.077241,-1543.316758,-1349.093094,-743.826921,-1385.971829,-1248.786275,-805.8099301,-1068.482341,-919.5973527,-842.2300382,-878.2773154,-532.6630778,-1059.757776
36,-956.7153025,-418.0492716,-1065.825975,-1339.835543,-1253.198197,-816.6421618,-942.0417207,-1301.507459,-653.9671332,-692.9708846,-1389.584127,-1336.052352,-1095.063471,-1048.790148,-586.4642532,-682.2380602,-1437.353989,-1393.089329,-1339.5247,-986.621031,-1231.216693,-712.8815618,-1370.164287,-785.4722213,-930.6752737,-817.5833015,-898.4563192,-778.7788803,-690.5488872,-1085.976168
37,-1176.185371,-444.646831,-1176.221252,-1443.133708,-996.4544371,-905.1239874,-559.5312531,-1024.742661,-801.7234511,-771.2860296,-1411.584705,-1317.051749,-980.0106342,-958.4690313,-341.3555232,-949.3006171,-1366.309615,-1501.431712,-1482.410923,-998.1813495,-702.3847105,-936.5480416,-1613.087423,-953.1765783,-936.0916415,-887.6709545,-827.1307336,-365.9252496,-409.1886675,-1142.323884
38,-1232.38045,-403.4030307,-1233.139552,-1418.721735,-1065.834183,-837.1647811,-128.5642825,-1244.280738,-747.3667083,-1089.32092,-1179.573091,-1171.867187,-1052.001748,-953.0857525,-1019.522743,-942.9534581,-1415.95193,-1608.633831,-1480.27328,-1169.085385,-1032.084342,-1286.159781,-1471.548979,-798.1977035,-874.2159678,-846.6943164,-679.5659563,-683.3835889,-530.0850288,-1228.66381
39,-812.6366586,-382.1875286,-1300.13597,-1390.715447,-995.9682698,-476.0241383,-457.0537809,-883.6929641,-578.1062191,-647.0672909,-1358.163459,-1461.90308,-1034.039407,-1099.37619,-839.4565769,-694.1422209,-1362.547381,-1406.595931,-1553.696549,-1031.942117,-750.3053114,-1196.050447,-1407.043241,-713.4448021,-799.7068452,-1072.682914,-828.0748964,-1149.463539,-710.3272947,-1210.190968
40,-1143.371153,-427.0214148,-1095.128397,-1402.119275,-779.3003128,-641.5366982,-934.0893132,-1122.61074,-537.3137447,-610.7525485,-1363.103163,-1366.959631,-978.2916197,-534.9076179,-762.6273031,-904.0774119,-1277.743663,-1436.052873,-1398.784378,-1107.196744,-1048.097594,-1094.597034,-1492.817871,-771.5374017,-685.8821452,-1082.683837,-673.4888221,-938.3357805,-518.034231,-1273.024707
41,-775.7213216,-351.8725878,-1031.750621,-1376.035979,-828.2802766,-462.1908296,-850.8765748,-934.8919147,-1063.77114,-278.5993185,-1439.84952,-1369.589354,-851.3082663,-459.3849329,-411.0399737,-774.4828232,-1539.396932,-1468.759652,-1581.814878,-1019.780999,-687.5153127,-1128.716896,-1290.621153,-812.3305277,-760.9554521,-1052.850574,-1127.232117,-990.6019262,-533.6316674,-1141.052657
42,-1042.75683,-227.2037352,-956.3489479,-1427.236262,-784.7716824,-363.3770648,-256.7884685,-902.1482611,-826.8473457,-631.1170006,-1516.934748,-1132.582897,-833.3203241,-796.4459782,-738.3744813,-867.1076746,-1592.011931,-1571.744086,-1519.782626,-1175.293082,-563.1117359,-1010.814777,-1338.911314,-770.9243678,-744.3111202,-953.5655134,-910.2953752,-991.6450332,-630.0311321,-1169.856171
43,-272.2583214,-30.83992678,-1414.601525,-1503.967996,-839.9649065,-972.9926212,-520.6558635,-1047.942858,-724.1155081,-520.0020921,-1463.097624,-1320.533711,-910.1264343,-802.1136838,-358.8686524,-934.7958965,-1495.636044,-1646.799257,-1411.302667,-1057.06124,-487.6685532,-996.8941749,-1469.915038,-447.1461242,-853.8784425,-1150.728273,-881.1872843,-1099.634531,-393.1495806,-1030.042359
44,-1063.491851,-258.2433168,-1430.139126,-1130.206741,-953.3141224,-923.0723605,-1123.680248,-814.4439733,-672.5252649,-591.2647842,-1331.984307,-1381.646921,-909.2881161,-673.2578529,-422.4649224,-819.1137809,-1403.003125,-1320.791259,-1404.421774,-1000.586115,-565.9322173,-1077.362554,-883.9449326,-1088.860315,-930.3277094,-1161.666794,-939.1437066,-944.6544871,-840.5877,-1165.509678
45,-1167.244766,-799.3871717,-1304.76587,-1166.799921,-1256.600546,-582.6573522,-984.8923193,-807.2951358,-776.4347782,-349.659805,-1295.799034,-1494.669129,-773.7301119,-643.2407819,-679.1209778,-719.0856827,-1372.049356,-1148.430907,-1390.263212,-931.8984612,-628.6494801,-1119.233549,-1066.394226,-998.4869881,-992.0506806,-935.5163198,-947.7993552,-685.9651627,-759.3323627,-1093.909706
46,-887.074224,-451.8863419,-1433.644736,-1226.466461,-867.7851469,-225.1014199,-700.1236647,-384.391682,-772.8998988,-693.2680164,-1350.439501,-1439.763617,-847.0159727,-775.765309,-434.8542376,-371.9446485,-1400.627877,-1331.464649,-1512.188797,-1092.733401,-523.2871269,-1219.988416,-819.4344066,-788.0862451,-1039.510906,-910.7633228,-958.513908,-716.7259615,-933.3991045,-1117.288442
47,-835.8924626,-936.2764622,-1122.212069,-1470.996684,-954.1325881,-945.2158147,-384.6826398,-794.7880973,-906.4091592,-679.006058,-1347.313581,-1537.345512,-884.8954619,-813.823672,-731.9406862,-292.96336,-1567.14946,-1307.442708,-1494.599354,-641.5820201,-822.1300662,-1286.109789,-860.5710239,-694.560952,-935.5986104,-927.3667604,-1011.30165,-1058.226434,-670.2594525,-650.3647959
48,-428.4137634,-293.0955841,-1230.48035,-1575.912441,-888.2894266,-918.6510162,-462.8817112,-1022.430759,-599.6654772,-996.117,-1307.475211,-1520.077405,-822.4767679,-340.3421185,-652.4297633,-354.6957158,-1546.02285,-1188.913662,-1343.948946,-1101.121997,-713.286072,-1346.900645,-893.9720898,-749.0024633,-889.5210667,-784.9552317,-676.9236895,-869.2530029,-516.1381363,-480.593542
49,-421.4723729,-262.236701,-1293.038747,-1428.538121,-848.6758992,-889.8815941,-721.1843195,-640.5133514,-922.6726064,-1268.851216,-1264.488701,-1474.597768,-999.3320082,-863.9308129,-824.1023918,-199.0633294,-1381.226262,-1200.231794,-1329.379096,-1219.511421,-784.3424841,-1346.907894,-845.4213781,-964.4289512,-863.62944,-867.1578182,-994.15902,-974.926671,-337.9416541,-773.7540563
50,-884.782553,-299.7407058,-1176.760865,-1418.257479,-620.4801955,-1233.707018,-532.8471868,-1076.226143,-346.2284898,-1158.163584,-1333.682454,-1413.660665,-819.911129,-931.7047111,-227.8635949,-349.4944458,-1131.219414,-1202.346696,-1257.764422,-1115.427068,-583.3550816,-1180.267853,-1065.607638,-1075.434235,-920.3003811,-1073.433953,-1224.945277,-1060.778273,-854.1613863,-918.00259
51,-1217.636225,-525.3205811,-1100.027348,-1459.20891,-921.8077543,-1170.952047,-268.3014265,-855.0135095,-524.0450633,-852.6969158,-823.1031912,-1445.152086,-713.7879648,-1094.97302,-615.7856815,-652.297097,-1458.252272,-1367.175306,-1446.887276,-1383.429861,-737.0461679,-1255.549237,-1013.362165,-1027.974133,-885.7184419,-1015.919479,-879.4683627,-607.8179592,-640.0954818,-794.8202864
52,-1153.89322,-360.3638222,-1228.610189,-1405.712394,-588.2850353,-65.59212979,-719.7344497,-1127.397972,-571.8717506,-939.0872628,-1364.881314,-1346.31458,-915.0777659,-1165.226717,-497.9716666,-589.2767164,-1609.023977,-1209.615379,-1397.395517,-962.6269336,-673.9380826,-1116.808856,-1011.367978,-997.6743048,-1086.960954,-929.0446008,-664.957098,-671.0766696,-857.2462318,-590.7834335
53,-1038.208829,-515.2703027,-867.6464067,-1465.097085,-672.6883792,-1206.822437,-195.5299978,-724.2372441,-399.9411774,-444.6476448,-1567.881901,-1411.785106,-711.8505213,-1118.319839,-457.5587847,-746.1973394,-1566.549582,-1208.527544,-1498.520191,-1044.504246,-924.9502491,-1292.913079,-979.9504095,-1010.797996,-793.0342956,-810.7238667,-654.3499218,-528.3241768,-950.5595832,-682.4097758
54,-347.2429782,-564.3959219,-1109.281034,-1211.477699,-960.0272263,-924.0257267,-265.7193759,-742.8514216,-385.4930364,-673.4326302,-1447.855569,-1407.235323,-1015.972352,-542.0133672,-868.366543,-450.919371,-1561.188902,-1171.479183,-1486.1921,-1009.860307,-609.6120193,-946.2764342,-696.623056,-1018.583291,-700.1181545,-775.7796118,-685.7655166,-554.421312,-1097.955759,-769.580019
55,-457.7746517,-862.1259398,-1133.502845,-1303.494824,-898.6870313,-803.1356432,-163.5871757,-1013.928166,-571.8506098,-577.868227,-1514.199594,-1270.291716,-776.1073266,-539.8847798,-1085.832794,-575.2696419,-1408.699213,-1231.722233,-1462.688973,-949.94636,-386.5968581,-1257.09694,-805.748756,-875.401626,-872.5775255,-966.8637798,-716.2454286,-732.8603137,-1260.519349,-745.0418165
56,-582.4181099,-895.2395909,-1205.252834,-1567.2925,-737.8260845,-304.9310652,-439.6799514,-1031.743945,-567.0560916,-612.4240251,-1533.849318,-912.0503119,-637.0013736,-672.6586973,-970.3687798,-509.7397405,-1401.543936,-1166.374286,-1414.628858,-1074.2729,-671.3953641,-1058.010114,-364.5797547,-835.6476195,-675.9417173,-960.4862216,-738.3730556,-665.0526162,-1043.663542,-512.3918427
57,-801.0523565,-804.2224881,-687.6027276,-1549.097466,-533.3448729,-500.1059084,-492.3965611,-976.770562,-580.6210762,-715.1960636,-1594.135905,-1172.506699,-447.1546956,-482.1850441,-1342.64531,-513.1119957,-1441.772358,-1257.621654,-1542.045641,-984.7747552,-553.4135019,-1298.084653,-986.0893676,-945.6541659,-761.546248,-1011.227602,-828.2558434,-980.9128014,-779.8354528,-299.8730294
58,-316.6563329,-875.5683296,-870.5257927,-1460.597893,-934.6909279,-563.0652945,-231.966205,-984.742596,-707.6944699,-467.49497,-1522.334817,-1270.940152,-823.6334521,-396.9725357,-860.3613658,-451.9693274,-1341.057503,-1410.418664,-1590.294114,-976.8753346,-457.6477491,-1076.07336,-675.5692929,-790.0219908,-909.5486494,-946.7510233,-856.8351033,-1013.262279,-822.1869647,-711.759629
59,-1049.093194,-823.6097496,-941.5815684,-1311.185481,-712.5227395,-888.8652403,-586.802448,-1151.699691,-921.6177276,-270.4457945,-1367.893077,-1243.506355,-807.437008,-240.0434297,-904.7137485,-826.1046843,-1304.834422,-1233.321387,-1556.335765,-1176.08336,-476.5073875,-1272.884648,-315.4552599,-733.8965691,-960.8869623,-947.8237313,-697.5614872,-704.8111026,-730.6532743,-685.0732438
60,-1168.415126,-758.3975797,-844.2568843,-1249.927628,-924.6415732,-997.8452931,-399.012243,-785.0427572,-670.310771,-428.8518584,-1373.307999,-1292.824794,-612.7689195,-134.1839459,-652.5901286,-723.8139864,-1547.542115,-1078.615581,-1387.928443,-1222.197645,-599.9203991,-1029.169733,-1309.606633,-717.922498,-825.2988159,-880.8761818,-1054.101846,-646.2060985,-765.9324494,-641.8565837
61,-788.1822768,-801.9052605,-773.4494686,-1596.118321,-765.1034225,-1161.94072,-597.594007,-865.7737527,-486.1833087,-387.8602291,-1525.375577,-1121.521143,-961.8865613,-193.7735573,-888.6026469,-357.7277462,-1539.986524,-1241.410739,-1475.174328,-1255.378675,-1128.197262,-1156.216253,-1102.952608,-815.0579176,-745.4841656,-916.0309421,-688.4318888,-717.2796889,-964.0050629,-830.1437825
62,-383.9987835,-827.3841522,-665.6185034,-1529.09736,-721.4456,-1098.749762,-495.8523124,-381.8226105,-492.7294727,-594.1397908,-1468.411431,-1309.039178,-724.4652733,-269.858008,-1360.29659,-772.0643274,-1442.476144,-1063.099892,-1266.54106,-1258.101672,-487.4812173,-1470.462943,-630.5393774,-835.3011517,-912.0036771,-924.1306725,-1046.397541,-1091.196747,-808.472196,-493.2632579
63,-511.4399639,-944.3001425,-731.031087,-1495.065883,-874.4730137,-1151.593932,-264.0427602,-736.9869635,-513.2907553,-350.8551801,-1384.72398,-1461.996871,-944.4232658,-362.573977,-1315.980775,-531.8453965,-1569.419425,-1276.24782,-1457.514199,-1027.026941,-618.9145062,-1399.710594,-872.2013376,-877.9818961,-699.9677746,-1001.882164,-882.673151,-929.9660114,-1431.017274,-256.6135386
64,-447.3735757,-997.1949926,-691.1201615,-1324.601699,-702.7628258,-1393.563795,-502.8831426,-769.8988136,-255.5495493,-1268.587241,-1342.157204,-1467.249641,-989.5182379,-385.768598,-975.4817579,-261.4278491,-1584.347515,-1198.132003,-1572.621512,-1163.560637,-693.2468065,-1347.945731,-541.4158793,-577.4088621,-790.3009791,-815.4236521,-1046.651724,-1039.55875,-1471.925506,-445.0705174
65,-626.6468878,-931.1792776,-782.2104914,-1388.315922,-989.6345127,-626.240417,-678.6525262,-1036.485408,-355.7540176,-863.2673199,-842.8761053,-1482.002416,-1066.869538,-381.1464923,-1352.488298,-423.4934346,-1514.146466,-900.7185858,-1449.427376,-1127.575242,-477.4653713,-1399.032095,-864.0702941,-740.9757662,-875.6821552,-781.8665923,-701.8557684,-1015.313115,-1475.948407,-317.1873111
66,-671.3770236,-806.6156827,-930.3075452,-1337.094195,-1120.201238,-1495.378389,-999.5717681,-124.5427897,-312.1934264,-299.991308,-845.9060918,-1540.371624,-899.6635368,-100.1984029,-1088.131271,-294.57597,-1223.474118,-817.632218,-1454.199862,-1168.126531,-591.5068574,-1394.403537,-445.3409417,-888.6640243,-946.7143422,-980.4256518,-1063.00509,-821.9943587,-1183.700092,-703.8355716
67,-321.2672644,-855.0531015,-842.8206746,-1510.453875,-1203.292959,-345.1942276,-846.8842881,-306.5854453,-446.5968492,-610.6744468,-1142.686279,-1500.276597,-745.641309,-290.4888334,-1116.981128,-195.0674175,-1321.759461,-1062.103732,-1304.50646,-1152.815395,-744.6164076,-1275.511934,-985.3327325,-1079.288055,-964.2791509,-765.5198289,-355.9770528,-767.0346284,-1565.804456,-823.1836537
68,-1264.546887,-658.8876595,-1241.705946,-1507.085341,-1202.762027,-1250.427527,-624.9827269,-917.5180892,-382.331491,-482.721384,-750.4495109,-1527.898397,-690.5059859,-295.4306085,-1390.467032,-265.3317207,-1442.987888,-828.0232363,-1280.681531,-1108.932427,-581.6493858,-1350.001658,-807.0373925,-964.4893041,-872.3294054,-775.0099487,-750.721456,-771.3268871,-1609.818221,-607.016647
69,-1083.392781,-672.5520587,-1160.797995,-1565.213394,-1191.03417,-131.7203802,-235.3789252,-329.3560886,-386.7521417,-1089.583555,-602.8575217,-1468.709559,-728.8277741,-298.3063105,-1242.034679,-321.905352,-1441.335192,-1283.74679,-1428.407988,-1201.737684,-885.5465133,-1289.114226,-784.8011848,-687.9014228,-801.9592772,-875.9597148,-836.7198523,-697.0678306,-1504.450015,-964.401308
70,-598.5881299,-831.4395397,-1027.21629,-1372.779892,-1210.500191,-957.3146352,-471.3882079,-1031.246925,-530.4742895,-455.1843598,-1130.447405,-1494.744215,-788.4985194,-299.3559186,-976.4736161,-386.8706014,-1580.891882,-1279.368243,-1523.321086,-773.3402089,-841.2052056,-1286.546523,-777.5859231,-668.6460515,-786.2903199,-665.2005692,-825.0389996,-716.0777085,-1577.004148,-472.4849734
71,-667.8830944,-825.3529815,-743.9995477,-1484.853545,-968.7296862,-1338.19823,-818.5103737,-547.2078711,-225.0885608,-745.4394559,-1309.900794,-1498.17374,-671.2524221,-230.4531645,-822.8664271,-99.58109794,-1419.529446,-1121.250641,-1318.583168,-1089.122642,-941.990897,-1434.763861,-815.4232617,-753.9796654,-883.6137069,-499.8510307,-1003.297574,-726.5374776,-1592.154279,-715.1375299
72,-445.1159403,-830.7460343,-1227.062645,-1551.029264,-860.5543641,-591.0422875,-621.5627568,-396.867441,-197.374848,-514.4558834,-1251.235302,-1448.343154,-843.1010211,-273.9486106,-1339.415431,-330.8524022,-1428.901856,-809.2840246,-1289.881208,-1158.856218,-806.4867455,-1390.662915,-949.8315232,-682.977975,-824.5101973,-441.7370154,-973.2693937,-790.3202007,-1557.537567,-478.9652811
73,-525.8180256,-761.8312513,-933.8652198,-1383.935155,-692.2412589,-605.8664088,-392.112841,-392.1792267,-799.0207464,-700.2483774,-716.4941181,-1513.406183,-891.9929695,-273.9918341,-1525.435941,-398.9927408,-1284.89074,-993.4587305,-1309.701124,-1084.68555,-513.2463622,-1473.365371,-497.3347362,-541.6785309,-964.2396552,-605.8228973,-1262.83922,-674.5691215,-1594.092659,-1007.460276
74,-801.3526342,-534.9267219,-808.6184871,-1332.052843,-634.5583563,-729.5093904,-223.2931436,-723.3481561,-587.3586891,-725.1816863,-462.6896156,-1477.290833,-725.2195993,-164.65811,-1241.267729,-649.9558875,-1430.755809,-1275.571909,-1161.554097,-1124.703206,-529.5720329,-1476.831051,-751.6675498,-596.3645418,-757.420636,-486.9149471,-1025.01404,-745.4873436,-1562.150916,-362.1808197
75,-700.8567039,-569.8917012,-873.7522703,-1434.210851,-702.8618515,-883.9485796,-96.47379603,-409.9286965,-192.5318071,-463.0449588,-599.3817516,-1402.626513,-654.9607637,-101.8629818,-1225.494186,-1220.348244,-1417.935747,-1215.906771,-1094.219266,-901.7370992,-565.1024389,-1363.017817,-256.8391051,-418.8249541,-783.6670412,-645.4445485,-1169.979352,-786.4579382,-1563.840944,-95.7734253
76,-575.2708926,-640.4802985,-579.204645,-1458.459348,-635.5638721,-536.7709607,-501.5858898,-666.6491115,-402.5306912,-537.3700102,-1318.565924,-1270.844863,-758.4327889,-554.6428825,-1223.651053,-1288.400477,-1605.746573,-892.2503929,-1140.975709,-709.0027522,-440.9284018,-1412.646834,-859.8429448,-450.9865476,-809.0334223,-565.2497185,-854.1319062,-862.5659153,-1552.248933,-414.1567247
77,-793.0617514,-630.8953839,-458.896372,-1450.337333,-691.0340223,-936.0980963,-352.8082184,-1040.393122,-431.9991559,-929.1345275,-932.0284689,-1483.817122,-1029.2826,-258.6124159,-1419.378641,-1565.802128,-1464.816014,-1385.023706,-1119.616598,-1115.958475,-303.9161267,-1253.56633,-1473.566254,-367.1724642,-714.0789775,-439.4232471,-1108.392831,-757.4788689,-1469.638352,-487.2362149
78,-645.3460188,-608.8554297,-709.3128945,-1456.258239,-749.0673603,-634.8412018,-523.1792224,-523.2291231,-436.3096817,-412.4626589,-1025.292382,-1335.181263,-682.2935443,-358.3766722,-1520.77846,-1414.649746,-1430.84879,-1207.253397,-1148.846617,-898.7673219,-265.1910443,-1392.651474,-1185.482699,-750.7924467,-615.0504061,-650.3486946,-922.8147736,-869.2329826,-1557.786151,-494.6690256
79,-793.2866038,-812.2134336,-582.1801839,-1436.709312,-694.431923,-609.548981,-670.0381743,-781.4725422,-489.4782905,-638.8281916,-1230.103663,-1414.360446,-807.2750871,-234.6607046,-1191.931877,-1540.917615,-1508.983679,-996.2289883,-1204.482443,-983.9126124,-195.6061817,-1331.586665,-1218.221125,-513.1715323,-690.5029724,-359.4083723,-1056.961193,-821.1067045,-1556.088944,-589.6597406
80,-444.1151855,-773.493485,-545.7199152,-1427.477239,-951.5482694,-896.3976966,-787.7364226,-473.69253,-470.9604839,-455.663027,-1252.729556,-1421.226511,-705.8687531,-281.2540529,-1393.135629,-1543.34742,-1556.193883,-1199.42945,-1148.885608,-863.8884238,-412.7303243,-1126.358209,-1207.840268,-503.2753436,-707.6162876,-328.6214038,-1111.419114,-1002.22843,-1401.108983,-526.3382238
81,-537.2306102,-566.6763153,-395.4365981,-1517.867541,-673.9404825,-461.6344913,-629.3016079,-1033.156792,-755.0902718,-942.6001262,-1287.676677,-1463.404008,-992.56789,-401.1226935,-1535.638835,-1335.506927,-1525.827597,-1050.128668,-976.9525541,-916.5507714,-480.5937096,-1230.817532,-1075.239394,-762.4830367,-742.7048887,-572.4002037,-928.732558,-720.7571612,-1498.19567,-361.2197477
82,-711.2611477,-689.1345234,-824.4848837,-1460.70105,-683.2262878,-158.59381,-619.3746935,-383.4004156,-757.0645029,-1300.085177,-1189.477736,-1332.738725,-836.7076866,-205.4897991,-1335.496963,-1367.556877,-1441.110422,-750.1629428,-1228.294837,-921.5833312,-523.2932453,-1174.763516,-886.5243413,-583.277018,-801.78045,-640.1783309,-1044.317705,-836.6629438,-1415.436166,-504.241357
83,-579.4877169,-457.0221895,-538.3500133,-1396.117685,-687.3725871,-257.2986828,-960.646239,-97.86897632,-523.0067931,-704.3054906,-1117.287022,-1265.465585,-605.9752863,-278.7017109,-1447.122179,-1182.691635,-1614.978238,-1092.785919,-1120.907133,-966.940781,-403.1400724,-1144.127331,-968.1528768,-568.2087715,-701.702533,-303.5257819,-722.918873,-953.3607852,-1264.455115,-853.8310605
84,-134.8015368,-563.9552825,-1115.996554,-1487.082826,-783.6450677,-216.5384705,-595.6103318,-810.9900459,-478.9396421,-404.2541782,-1373.709423,-1487.725574,-595.2963642,-308.2211844,-1254.093517,-133.6671756,-1575.935906,-471.2663387,-965.882012,-870.4547609,-165.5180841,-1388.687771,-795.5678415,-345.6631945,-783.59303,-264.5237807,-944.5585173,-625.6442614,-1301.776901,-419.6899564
85,-460.4735369,-100.1348399,-949.3848821,-1450.575684,-651.9131084,-783.8349657,-1093.296934,-280.6262793,-446.483,-963.2545316,-1274.742167,-1428.535776,-551.0785173,-298.3564782,-1504.062958,-661.2550993,-1546.269731,-651.6204054,-885.9729159,-993.0469962,-587.4598515,-1451.203069,-682.5638743,-794.6588945,-783.9214453,-761.2073135,-1003.449133,-867.5564062,-1048.154581,-379.6468438
