batch,2pfrdcbv - Epoch-avg,1vlwdpaf - Epoch-avg,3q5r1k4c - Epoch-avg,2ou7x7rk - Epoch-avg,2of8vzop - Epoch-avg,znl3k74z - Epoch-avg,dqa3ciqr - Epoch-avg,38tl42kk - Epoch-avg,3bpfsd8d - Epoch-avg,crmenqdd - Epoch-avg,wkv86ypm - Epoch-avg,cbcew5d9 - Epoch-avg,1kjkg864 - Epoch-avg,21lmx0bg - Epoch-avg,1wdqz6bc - Epoch-avg,23goukka - Epoch-avg,ur7wlzu9 - Epoch-avg,44b0bp7u - Epoch-avg,23xz4hxx - Epoch-avg,2rpe846y - Epoch-avg,2a1um07g - Epoch-avg,38ivexlk - Epoch-avg,6f7b1xzy - Epoch-avg,310hojhb - Epoch-avg,35lb2llj - Epoch-avg,1zvhc3c0 - Epoch-avg,13yoh3y3 - Epoch-avg,174wdx2b - Epoch-avg,21uke5qo - Epoch-avg,4gu1xe65 - Epoch-avg
286,-642.423086,-955.9003525,-210.6859954,-1119.082603,-961.942153,-1346.931975,-815.0029082,-477.6644718,-748.2854895,-901.4887737,-1050.474754,-1306.876049,-975.6013372,-223.2882542,-910.0542208,-248.2653166,-1340.504595,-1289.892901,-1062.625425,-1426.256731,-1407.332285,-1345.822007,-426.3113596,-319.0856434,-740.7842166,-888.8677036,-963.5781828,-774.7419606,-1014.237712,-517.0745653
287,-547.3044395,-1424.799875,-568.7331161,-1054.530136,-991.4682225,-351.45639,-1205.415521,-104.9871989,-1028.131396,-1261.427484,-1460.106258,-1392.544307,-979.9612954,-382.1030108,-1072.6425,-305.9968196,-1483.844906,-1208.516234,-1023.988124,-1430.857337,-894.1083536,-1459.380647,-190.1381451,-989.2448659,-768.3048538,-721.1507691,-979.7990283,-761.1992224,-804.2392398,-650.2009482
288,-1021.444702,-977.0267404,-548.4662697,-1266.016188,-1023.784592,-1047.167868,-566.5854356,-808.1873223,-791.7407024,-806.641952,-1531.416835,-1526.479124,-1049.89884,-260.0146353,-409.0004885,-279.8066795,-1370.163157,-1225.971399,-1024.39984,-1468.363882,-614.0024226,-1239.918517,-251.3956801,-608.0252557,-455.1813393,-771.6248547,-799.8455092,-932.67663,-230.7252207,-510.2434877
289,-857.1651944,-987.6101535,-477.8868917,-1343.52774,-671.2788229,-1010.317671,-746.2794344,-540.6698769,-994.489681,-1122.421511,-1325.51479,-1158.197661,-929.952387,-385.6279842,-975.8789783,-482.9929314,-1429.888571,-1318.08048,-1236.096182,-1459.335067,-952.1675613,-1314.073029,-372.7770574,-452.7815133,-279.8995958,-488.0140864,-1209.482572,-408.8028562,-878.4630415,-246.9698508
290,-682.7579022,-619.2909829,-465.5486818,-1379.06242,-764.7586786,-1427.014437,-345.0685169,-196.2911798,-1044.495757,-965.6938084,-1532.880406,-1238.31644,-771.3295628,-290.4885477,-459.5446393,-620.3455743,-1392.975547,-1181.585647,-822.5633151,-1504.647394,-1332.482897,-1067.810615,-274.3094928,-494.2313561,-435.78118,-680.9758367,-906.4142488,-462.9805741,-931.6524899,-137.1797951
291,-702.7726398,-1281.08285,-348.8277689,-1504.342392,-933.0270788,-1296.521556,-1386.168832,-842.9757317,-1213.709742,-1181.45342,-1372.134986,-1396.81949,-869.9304127,-415.4461706,-582.8197957,-298.780333,-1515.757674,-1229.767766,-1039.976951,-1393.93034,-963.8426798,-1612.30475,-284.495963,-1034.978526,-287.5988126,-280.5524213,-1049.773797,-1088.291515,-826.6959415,-447.2956966
292,-674.1174239,-1363.892733,-433.9829116,-1219.573335,-535.183886,-1414.66955,-204.7697195,-504.7115052,-1040.382997,-1171.573086,-1296.133022,-1319.732306,-897.5936705,-195.2905683,-658.8085946,-201.5237908,-1495.424409,-1195.33058,-1347.251387,-1374.749534,-1080.485803,-1530.104598,-404.9245764,-1103.645934,-997.8542142,-397.1716272,-1322.185648,-661.7824006,-966.7709126,-220.0449232
293,-875.6727869,-1447.002088,-280.0390885,-1195.147406,-330.7960893,-1053.447157,-665.2279189,-1120.160371,-1227.206837,-1208.788884,-1176.518524,-1380.656972,-863.153047,-546.9682356,-617.2549876,-375.0112823,-1456.95767,-1262.603169,-365.099557,-1479.486985,-1222.040784,-1479.690321,-98.44767879,-1257.249128,-217.8911402,-433.8903199,-965.4202024,-682.4335676,-603.3918364,-415.5002953
294,-991.7794937,-1302.864151,-441.8229445,-1231.086498,-1100.282361,-1071.718642,-904.3003537,-754.6312932,-825.9415365,-1261.091311,-945.4534672,-1340.326265,-847.9996571,-193.8119507,-529.0600352,-420.5640569,-1343.074099,-1228.627103,-1275.074445,-1441.920032,-1148.034923,-1411.264546,-130.664004,-718.9988245,-956.484307,-386.0400793,-778.3113686,-1084.422619,-752.621669,-162.6833685
295,-844.2681662,-692.3231588,-489.0622357,-1159.475691,-761.5655051,-1427.907176,-282.1067862,-498.6411645,-1193.735147,-1373.792704,-1133.379523,-1533.835261,-821.0413658,-361.4231541,-427.6760998,-276.1845891,-1442.364836,-1354.84136,-1120.569615,-1431.578319,-1420.067121,-1363.895841,-245.4851735,-991.5464682,-339.6907075,-646.126887,-1319.802072,-511.3531311,-798.5943228,-329.2955721
296,-681.9665473,-1298.984615,-618.7064761,-1478.521493,-367.8691929,-1474.898146,-710.2846544,-420.4631765,-875.5910994,-1373.65535,-1216.704592,-1647.873522,-933.8383626,-152.5734339,-980.4474087,-302.8625681,-1261.470674,-1337.929269,-925.5106409,-1425.364414,-988.0091347,-1391.227532,-192.3094938,-781.1886823,-294.7014014,-659.723985,-1312.472931,-705.3771689,-610.3190229,-772.4923884
297,-825.7103857,-1270.724318,-406.9532333,-1108.214558,-436.473843,-1081.099315,-545.6255612,-422.9635659,-1071.950045,-1320.831195,-1409.170549,-1480.51725,-765.6723254,-156.9813442,-700.6280105,-311.40408,-1588.799985,-1382.745844,-709.8421227,-1412.561404,-477.1616327,-1421.662352,-282.2589793,-1099.114247,-861.6007455,-281.9176012,-976.9857354,-1267.962989,-936.0189016,-611.9695614
298,-634.1856621,-628.2425427,-759.0325144,-1149.708824,-821.7619682,-1372.881742,-831.0314404,-858.5487695,-765.6293807,-1386.333485,-1183.643135,-1356.336953,-1168.787062,-153.9209643,-523.6522658,-463.1878281,-1439.863837,-1367.412312,-864.4080599,-1435.988362,-1033.650724,-1321.656671,-311.9441667,-984.4054915,-742.9347632,-797.6115912,-936.2027982,-1156.786083,-695.3748344,-411.9944027
299,-1045.387568,-908.8591012,-683.4648285,-1244.479134,-851.9052172,-626.5498961,-622.4163698,-540.7308224,-731.1953694,-1351.666201,-1337.034611,-1382.41444,-280.0491447,-225.0012358,-933.4007378,-296.4901422,-1487.989724,-1343.73934,-907.5841811,-1362.536839,-1333.109483,-1291.828881,-186.6323056,-1107.694841,-285.0403793,-313.4573798,-789.8442566,-1100.134473,-836.9370662,-390.0699953
