batch,1xw6g728 - Epoch-avg,3ikscgpw - Epoch-avg,1twuzz0d - Epoch-avg,50vwwpjb - Epoch-avg,16a1i3ou - Epoch-avg,2s1kqq8c - Epoch-avg,1nroeh36 - Epoch-avg,ktrh2tkl - Epoch-avg,26r5cpnz - Epoch-avg,3d186l6u - Epoch-avg,27og179w - Epoch-avg,3ejpsk49 - Epoch-avg,xu3egzm4 - Epoch-avg,uyyj5cdd - Epoch-avg,3otyqg6q - Epoch-avg,u4cisnjv - Epoch-avg,3mcy4b9i - Epoch-avg,27oykizm - Epoch-avg,ooloz8zs - Epoch-avg,3b7oeaot - Epoch-avg,32c6fel3 - Epoch-avg,1342oi5w - Epoch-avg,othglsno - Epoch-avg,3silhylu - Epoch-avg
16,-1066.413282,-1090.955439,-1032.459413,-1065.260581,-945.8161312,-939.3140611,-1009.79206,-933.2747327,-1072.871046,-1002.689196,-984.7415339,-1162.366884,-1054.537077,-868.2756887,-1132.9255,-936.86177,-899.1251602,-1062.857186,-1232.066706,-931.6703252,-825.2482744,-1038.349818,-1309.703425,-1161.120202
17,-904.1504177,-1272.609777,-870.3150981,-1190.845729,-724.5764383,-655.8477311,-1138.451419,-1084.432748,-1091.757358,-843.2582523,-1165.009573,-1045.639832,-992.7226193,-996.7479197,-1268.481816,-1016.787051,-783.5344911,-1177.52418,-1185.04122,-1070.693065,-956.3224153,-977.3114959,-1197.858504,-1062.904083
18,-1214.894411,-1160.384646,-1061.193753,-1067.623637,-919.600246,-840.755739,-850.6393554,-1040.405252,-882.7748859,-949.9473505,-1153.376222,-1049.322328,-1007.412763,-1164.869789,-1026.298533,-1119.869917,-951.722313,-1022.450855,-1048.898086,-859.4071407,-506.8096189,-648.3216059,-1093.531877,-1114.956603
19,-810.9594044,-999.2588758,-919.6080367,-1213.63624,-764.847302,-844.447446,-997.6472137,-798.4321497,-713.2489587,-735.2034584,-917.1914057,-963.9745723,-790.2827866,-830.3229532,-1050.426114,-716.793523,-965.0277442,-952.663551,-1017.770206,-934.9918511,-616.4519704,-712.5228253,-950.2092405,-800.397476
20,-961.223726,-814.8238879,-1045.681319,-1014.357354,-713.4002161,-710.8937118,-1118.366389,-952.0894143,-965.6397029,-723.2156687,-1065.826298,-732.5922981,-892.0450052,-936.6889077,-880.0822731,-733.0095914,-697.693993,-987.1809726,-1213.424047,-1114.213598,-859.8197512,-726.3095307,-1105.476726,-1037.425952
21,-879.622595,-987.0252938,-959.1243637,-1197.277023,-934.9457591,-1168.601587,-861.0666436,-1187.778408,-683.4884613,-1047.115174,-1188.291896,-854.4591447,-1121.298189,-986.8655695,-991.8046,-1170.13912,-836.1125352,-879.7352896,-1258.521626,-904.208272,-633.2574183,-765.7308318,-954.4098997,-849.745567
22,-865.5006672,-1174.95329,-782.3027056,-890.2727431,-988.1315032,-1070.09369,-801.6487881,-874.8693794,-665.2955479,-740.4096159,-860.4651322,-608.505512,-798.2656054,-1071.039189,-812.2117204,-926.8365791,-966.5148926,-908.7219687,-1132.749524,-1025.521756,-981.7919396,-750.6672345,-1122.217022,-1047.621695
23,-752.0086151,-907.0336275,-1018.496399,-914.375592,-762.1407996,-860.7317374,-946.3563006,-929.5856389,-877.1471972,-732.8191778,-845.8569672,-743.1622302,-816.8406946,-774.2878658,-974.5953788,-804.8885774,-770.2221897,-772.4524904,-1048.563527,-1115.893195,-685.7599738,-648.1965375,-1028.708689,-804.4087722
24,-887.2733809,-969.8631999,-1020.894656,-863.6837753,-926.14584,-472.1012076,-843.2970138,-786.60829,-751.6432752,-661.0149812,-831.8063987,-690.7817387,-950.3018098,-724.498413,-815.7257166,-977.1588044,-785.5766189,-767.8856134,-854.6310104,-807.2157814,-853.7747856,-573.6776919,-1015.208472,-824.0670759
25,-686.0489448,-950.044845,-1006.043652,-826.3282131,-939.3003247,-653.9892524,-762.167432,-709.7966461,-893.0908384,-689.0884375,-804.8632901,-509.2662816,-853.4731758,-703.5858498,-571.0597893,-1154.164132,-713.2810906,-946.8394188,-987.900743,-800.2758225,-566.1516278,-698.8163256,-1135.061485,-812.16277
26,-737.4903036,-694.6973703,-1000.677081,-911.9211306,-689.4058975,-702.4374492,-755.6092081,-987.5543126,-616.0519074,-647.3933466,-871.8382762,-395.2708233,-880.7938148,-962.8652535,-804.1098933,-956.1619979,-559.5788164,-722.490824,-849.7067653,-422.0940143,-714.154664,-647.79758,-1161.44471,-923.6922559
27,-357.8404146,-1159.401728,-717.6163095,-1011.908445,-725.45805,-612.2282689,-818.210599,-935.5505214,-737.6556847,-444.7239883,-710.9325052,-691.5756668,-890.8608619,-657.6221632,-516.8487721,-1092.788186,-864.7710636,-762.798744,-909.9359958,-953.2827381,-791.4522931,-724.7366307,-896.7545596,-1098.496887
