batch,3rcvdvj9 - Epoch-avg,14wxldb2 - Epoch-avg,1mr08dak - Epoch-avg,q4vinlo0 - Epoch-avg,oj8q7z76 - Epoch-avg,2sezzrdx - Epoch-avg,9nrq3cnl - Epoch-avg,1n5j2rax - Epoch-avg,ulz3jb12 - Epoch-avg,1coy3mr5 - Epoch-avg,rr54n2f4 - Epoch-avg,2jqw6lu4 - Epoch-avg,363f3lmc - Epoch-avg,14bzgdj7 - Epoch-avg,2olfyl92 - Epoch-avg,k8r8hfnx - Epoch-avg,cn09x2es - Epoch-avg,mdrxxfhv - Epoch-avg,1rr22ns1 - Epoch-avg,2ruvh68i - Epoch-avg,1scdq7h1 - Epoch-avg,1hmh5gtz - Epoch-avg,3eo79fbn - Epoch-avg,12oto9ps - Epoch-avg,1os5wnh5 - Epoch-avg,1ey84ffm - Epoch-avg,2hip33eh - Epoch-avg,t3m35g3g - Epoch-avg,37r342ur - Epoch-avg,24pbctuu - Epoch-avg
55,-638.1038526,-815.8590222,-403.8911026,-502.6414213,-291.0839197,-699.6365619,-253.3638298,-417.239291,-792.7387476,-268.8765663,-358.3949241,-733.0868562,-520.9365851,-743.1024467,-847.7450686,-278.0547306,-703.3956059,-1067.590528,-460.1563811,-534.2715877,-246.0075887,-262.1528457,-467.4347121,-484.2104124,-241.6412309,-671.5618771,-859.6466967,-308.6120862,-156.6947809,-260.1906645
56,-260.5506872,-630.224453,-261.9273398,-485.4085724,-580.8863943,-744.0597833,-339.8214543,-287.4587483,-825.8427717,-626.1673723,-312.8999242,-497.6509767,-335.7932074,-538.3100893,-589.0532273,-728.7483845,-897.765909,-1134.098409,-261.1512368,-325.0467025,-336.7285663,-587.9270543,-284.9366861,-518.9540073,-908.212264,-594.0878881,-880.7640244,-213.9028688,-383.8513468,-373.6756013
57,-463.341542,-499.0226797,-386.2483576,-291.2583396,-305.6068583,-867.250382,-936.4585573,-231.6627403,-844.1486549,-425.8417548,-436.0626306,-457.6436281,-344.5030706,-314.1806259,-661.9797725,-383.3701155,-970.3671754,-1054.096314,-253.2029491,-360.410465,-375.7149716,-368.9260876,-331.6219871,-379.0268858,-322.7782724,-795.1118792,-901.9809863,-371.3954772,-391.8506162,-341.7810526
58,-754.4982781,-244.1453363,-365.6525113,-303.5028577,-390.581049,-601.4828222,-960.0128636,-213.1499066,-738.0393906,-747.2994328,-320.4793343,-410.3684168,-249.9412337,-650.7417677,-412.6442177,-505.3858991,-728.6577667,-975.6329846,-349.1228841,-237.9061525,-244.2078902,-377.9605482,-241.9533453,-259.9360799,-367.047181,-642.4843414,-1012.851554,-1036.25682,-609.5349559,-257.721897
59,-427.6496435,-690.7638383,-195.2355678,-142.9004187,-335.4288902,-568.4195654,-286.9404263,-204.6654956,-671.9548844,-353.3361826,-384.8118665,-623.9415923,-400.9452469,-559.0201745,-452.5825124,-298.2415114,-653.8888576,-700.8814263,-361.7649975,-425.0794879,-222.2519102,-195.6933482,-204.394375,-331.2233603,-788.6558284,-604.573736,-862.3845739,-523.4425315,-577.0030321,-338.4267048
60,-758.718626,-836.1231549,-548.0874226,-588.9479849,-493.6611664,-759.0405698,-280.329418,-320.6363529,-641.5313205,-942.9190932,-442.5139167,-425.935738,-742.5105007,-294.2018471,-488.0045233,-559.1162641,-831.5338531,-559.5242211,-356.5544359,-181.6198888,-275.2113533,-177.9496056,-320.1946027,-356.8728885,-472.7420372,-204.8419189,-896.0759977,-243.6789115,-690.6624151,-354.9947925
61,-568.72735,-970.6016567,-341.0523657,-517.778234,-357.2114515,-854.987115,-473.7100228,-350.0894365,-682.1623328,-822.9620761,-408.1010857,-522.405652,-447.4522639,-133.8124039,-594.9281805,-674.4289434,-791.7350083,-298.3106584,-160.314345,-516.0187559,-364.3948876,-521.3515395,-162.5066194,-403.4373996,-543.1196915,-254.1294189,-801.5767868,-274.8269131,-407.2237302,-269.6442474
62,-226.7847955,-992.50115,-363.6895937,-571.3124181,-559.1636087,-475.4598191,-522.9811478,-320.7628207,-669.2926761,-427.2201398,-165.6951721,-680.6624917,-194.8977471,-395.255671,-876.2902277,-296.0438552,-976.7687487,-384.6167076,-528.6202108,-340.5168893,-208.6137676,-347.998198,-176.2931255,-269.4990339,-383.4831885,-819.3827785,-902.0163375,-222.6337442,-900.8983432,-499.6880022
63,-246.3462561,-1052.784317,-424.8148847,-531.5102701,-339.6830989,-716.6254601,-472.3687862,-406.1286658,-664.9592238,-283.5616913,-386.6144744,-414.218735,-555.1076932,-589.0376949,-903.072385,-318.9652974,-740.4531503,-330.5338771,-602.6083238,-961.3225215,-210.1578367,-340.182843,-156.3115629,-199.7970524,-572.8541103,-742.1753759,-546.9849222,-294.1838358,-737.9767855,-374.4518847
64,-438.0218736,-1021.416387,-558.0720529,-693.7748713,-465.7108139,-673.0216081,-331.8991394,-255.2388121,-636.5211137,-380.5948602,-278.5409938,-411.3489038,-509.7041994,-1108.834566,-443.2163168,-302.8589711,-693.2452798,-167.9950551,-281.5017056,-828.0196011,-213.0730044,-241.8468395,-236.482303,-542.2367442,-443.9590351,-235.0353172,-534.9820462,-470.2469541,-279.8065681,-343.034473
65,-416.3469203,-836.7034988,-326.7645127,-561.7565929,-535.9807784,-394.4152509,-535.6371038,-192.1762723,-714.6663028,-342.518289,-608.405963,-392.8513781,-477.2235994,-533.130826,-313.770346,-337.6554451,-760.076951,-419.6148099,-322.524927,-513.6946471,-384.7849347,-195.2585266,-238.4977871,-551.1366416,-575.7220147,-271.6266129,-553.8562133,-264.5049289,-232.1798585,-246.5467172
66,-214.446203,-808.967954,-377.6162277,-282.606469,-564.3030881,-487.2657242,-250.6884102,-232.3048646,-637.4918086,-644.2965205,-352.7091206,-409.0057514,-378.8753139,-426.1741055,-305.5103298,-199.2934462,-728.0105466,-384.7609462,-576.3915062,-389.3324652,-327.5431094,-184.8939107,-383.2779617,-201.6147761,-589.6397809,-163.5301331,-566.0838798,-312.1628619,-824.1140614,-462.4846713
67,-216.5636695,-654.7513687,-586.7429815,-162.6224719,-578.1595581,-532.6976188,-427.3938786,-201.0118514,-790.6033593,-323.9600686,-537.4361623,-299.9121076,-554.820773,-411.9545855,-600.7722664,-255.9896743,-703.887907,-489.5620648,-620.4447501,-247.9987712,-284.8906421,-166.1086077,-436.9434605,-273.7486473,-593.9513088,-298.0764171,-690.382295,-193.8577743,-215.2856065,-514.1410134
68,-462.1051682,-647.9397936,-453.608335,-576.9163946,-274.1141157,-602.5575117,-630.3578836,-221.2087761,-656.3610083,-240.5589472,-215.4692957,-403.9449347,-245.2198544,-163.2766452,-263.639691,-354.6718615,-605.5432619,-644.2465932,-475.7829528,-232.1140856,-293.7437286,-131.0029367,-575.183225,-532.8525889,-392.3613052,-390.910856,-756.5446749,-271.9208732,-182.8310574,-334.067365
69,-448.5708587,-536.1799134,-376.863727,-616.5414247,-282.0247758,-584.4076788,-495.7073835,-356.8931686,-726.8004312,-649.1002109,-232.1064125,-286.43647,-360.8729084,-364.514354,-364.9788454,-472.6597879,-709.4711676,-298.0902181,-190.3405981,-232.7330883,-253.4713134,-258.60961,-589.9030161,-250.3290553,-215.1359716,-217.9991505,-598.3472502,-305.6208532,-255.2941909,-194.4689611
70,-577.1466382,-1354.164793,-629.9115395,-464.3708386,-322.4235476,-614.7493734,-278.0710838,-258.6104976,-712.9895601,-276.2529356,-294.6775084,-370.1002352,-482.0507774,-270.168102,-517.0070111,-145.632198,-573.6586622,-479.9920247,-510.2378639,-258.6025695,-553.5510328,-208.30596,-570.0775684,-235.7101416,-291.5965306,-625.3460324,-722.5776876,-270.2393438,-190.4351584,-451.1879954
71,-420.7876301,-622.4950748,-745.6374268,-645.3439534,-309.2692058,-277.6785759,-466.4403758,-243.1526725,-747.2907708,-326.2961542,-484.7384509,-218.4329123,-622.7421478,-226.6170176,-171.4786346,-194.6590764,-534.9188134,-358.2206476,-532.4609733,-260.2463546,-216.8731032,-275.0726174,-491.9071316,-241.1447428,-476.9821487,-292.6326527,-788.7786941,-468.8617308,-551.7744391,-724.4370585
72,-218.4675425,-975.1381398,-1004.797368,-350.7712281,-210.1104932,-406.2315433,-585.3576412,-236.7885343,-711.3022522,-503.6291139,-387.830594,-223.1425638,-616.298575,-320.4983286,-256.7792434,-244.586475,-542.3503708,-530.4859359,-323.373417,-379.4406267,-305.3196473,-257.5701849,-302.4722436,-161.8363374,-344.4328142,-341.1298202,-971.588755,-301.9455952,-504.8177904,-335.9625265
73,-863.6789753,-1178.699974,-1040.626262,-495.1242144,-450.5631719,-279.1158029,-261.2235653,-272.2346466,-742.0151071,-501.6535239,-478.4882876,-245.8000406,-766.4571951,-403.6149915,-272.8252131,-214.4046061,-689.869441,-295.609925,-355.8002162,-301.1081337,-563.1663364,-241.1131075,-456.2917863,-197.8117809,-246.5784835,-260.635834,-787.693832,-502.1982724,-471.6331966,-195.4123195
74,-349.4508923,-871.9286934,-1060.172271,-378.1569876,-536.4745038,-233.3879766,-631.4084131,-353.5714358,-1089.760959,-607.121707,-440.0149134,-202.0260913,-619.4435146,-718.5713793,-239.8169905,-222.5304096,-784.3715431,-528.6569423,-230.2648233,-388.4956111,-458.0615048,-514.7650045,-143.9819397,-393.2892983,-344.1335687,-212.382457,-761.0229797,-345.0976012,-449.1018567,-466.2948357
75,-518.9407768,-1126.502599,-943.791374,-641.589295,-336.349455,-251.4168327,-501.2222688,-279.3946927,-688.5436225,-541.4226823,-294.4424367,-393.6622478,-502.5664707,-492.7801141,-214.293648,-276.3448341,-766.7500384,-267.1590304,-268.7086923,-314.4245941,-519.2152043,-390.0318888,-415.7460231,-451.5504314,-597.0306579,-516.9077106,-710.793536,-653.3852746,-558.7898269,-227.4142678
76,-450.8080373,-1064.969175,-719.1205024,-330.2037061,-334.3181647,-250.438743,-366.9900212,-527.3410807,-489.1757302,-376.8604502,-309.6705585,-365.0793223,-522.3370935,-307.5941396,-335.7581903,-286.3668465,-616.1742917,-519.1396659,-193.5358282,-469.9858214,-293.2291336,-210.9334086,-502.2448974,-325.5039619,-645.465329,-531.6781809,-618.174126,-381.6955319,-853.393778,-305.4259795
77,-233.6916838,-578.9373383,-803.8483103,-543.20903,-207.1792353,-242.6363625,-404.2582873,-588.1529564,-664.2388763,-542.4764,-258.482774,-365.2626258,-279.8126507,-460.0608283,-451.30882,-294.5253649,-506.0909432,-623.4514723,-450.5949331,-389.0421445,-227.7390447,-478.1823454,-235.6330134,-243.1883404,-270.289722,-525.1903238,-679.8456831,-400.7253324,-399.4758248,-370.7212038
78,-634.5945213,-889.8541772,-847.4116521,-550.5598712,-403.3444558,-293.9729727,-313.1230837,-266.7490666,-317.8890014,-494.5500682,-159.5829843,-477.2635188,-315.1221756,-629.1459337,-692.0418645,-333.995065,-442.646644,-669.848108,-526.9458011,-463.7655878,-379.1453866,-579.9469499,-471.6520616,-210.0810195,-418.1971486,-893.4805307,-1053.834987,-429.6742547,-483.6531935,-398.1831024
79,-639.4119322,-655.7750833,-930.6811035,-842.1867857,-429.709006,-361.0185091,-239.2704662,-240.5889817,-330.2613471,-521.7504648,-412.8761197,-314.9992806,-565.4168489,-846.306212,-657.1111524,-230.0622608,-672.0362483,-460.4295346,-694.0589619,-367.9365752,-350.0364598,-610.2715627,-466.3099655,-308.1823712,-478.5011489,-723.8598263,-1230.876898,-326.3150702,-760.1216869,-402.0661616
80,-516.1598302,-729.570713,-841.4199618,-302.6969696,-595.2220213,-291.3811474,-200.6655205,-302.8991521,-473.7334002,-805.1803235,-537.7440076,-229.9729883,-399.5188337,-1018.148181,-509.1123773,-484.9374104,-860.6358561,-396.691837,-775.7195073,-216.7721974,-460.0160742,-551.2122093,-204.7474526,-433.1242955,-443.9697383,-949.0736356,-1318.820186,-225.0788282,-727.4024455,-660.422294
81,-705.5885517,-1178.364257,-531.2533503,-465.2699478,-228.4936818,-268.0284379,-520.1195583,-328.4237326,-634.0199868,-741.9184374,-511.3158399,-345.4083659,-196.3614348,-700.5859435,-345.8850309,-702.2792893,-819.3574279,-233.2023988,-582.9307726,-730.2536833,-615.1395801,-438.69638,-232.4187559,-280.3564247,-246.6458332,-889.7867953,-1311.436903,-191.9594967,-1005.923296,-533.3443016
82,-1102.755563,-658.9811921,-523.4190953,-611.1886394,-351.6528757,-428.2047776,-381.3550351,-381.803657,-731.5245814,-528.65736,-537.1764033,-180.0165442,-210.7315144,-746.0067452,-317.6295852,-741.5418934,-1155.799498,-383.164447,-659.6637996,-1123.473551,-227.9016148,-505.7438489,-185.4062724,-200.9866917,-277.3544276,-753.6141376,-1307.356022,-296.629368,-934.9349145,-464.5551859
83,-976.9230379,-562.7862784,-255.0810377,-585.753408,-464.1237548,-225.34603,-644.6234305,-415.1365285,-522.0217689,-598.7135065,-420.1547941,-391.0937043,-323.5769778,-937.2272534,-427.3739931,-634.175361,-941.9931568,-456.1582247,-551.1187723,-293.2481062,-231.8175426,-675.2789525,-252.3061483,-276.6778911,-435.8453171,-869.9533951,-1258.18355,-327.9647867,-605.7267211,-408.7542214
84,-886.3346455,-282.6084952,-662.6528122,-441.6945469,-595.4793621,-316.4869288,-651.1962583,-579.6860507,-631.0513005,-455.1590401,-198.872268,-453.2122871,-341.0521536,-656.2226711,-261.4089818,-918.2944402,-858.5779358,-549.6640762,-595.8100445,-458.6002866,-183.8439277,-471.2203225,-507.1878674,-331.8876339,-343.3799369,-818.1809681,-1180.198294,-130.5623422,-686.0559248,-307.1043115
85,-759.4163815,-570.9470388,-514.1644276,-441.6775625,-579.3358652,-517.7182234,-670.0292809,-307.2943309,-472.6470929,-606.6879932,-313.3037049,-357.5135381,-257.1649906,-437.0470453,-233.2522365,-317.0482545,-596.1337272,-454.7674472,-245.8609899,-177.7549723,-522.4700063,-306.7138618,-445.2406258,-967.7825977,-402.4720512,-494.670343,-1359.062896,-133.3557655,-728.3561014,-143.4819801
86,-861.013472,-1082.464237,-512.0953763,-331.2328954,-624.0571805,-516.9450446,-570.3563552,-359.0613615,-732.6963693,-613.981625,-252.5532479,-226.7701701,-352.9931706,-341.8753748,-423.9658009,-207.715857,-441.4117597,-356.557431,-640.9351766,-269.7663694,-482.2580157,-279.9238178,-318.513722,-214.4594232,-224.5851402,-242.4191858,-1287.279011,-215.3279353,-652.3296707,-156.039716
87,-845.5196172,-1124.51168,-210.5491488,-438.3095417,-570.9252251,-412.2375626,-537.0139862,-224.062365,-671.7191061,-675.0485482,-342.1780831,-260.4763265,-438.0451475,-142.6033679,-430.6207872,-328.8762704,-559.563125,-637.5054503,-292.5504272,-161.4223162,-384.3349785,-304.0464258,-564.6007418,-216.413195,-496.7745154,-391.5894166,-1359.807968,-255.9330409,-886.4587748,-208.888159
88,-618.8165538,-1060.793108,-209.9495372,-343.0545722,-507.4082923,-411.292594,-258.3961714,-354.4625378,-729.6523824,-484.7785334,-565.7623251,-219.6283198,-467.8058962,-606.0028896,-299.8689208,-448.775277,-533.6704527,-383.5353007,-458.0309692,-244.8685939,-272.1137015,-310.0801749,-398.0588987,-243.6747256,-564.392396,-629.9571028,-1261.284516,-386.6851002,-594.1270359,-593.1524382
89,-922.8630757,-553.590567,-191.9054578,-274.5014755,-511.9073372,-298.5676614,-204.7263738,-193.2439081,-518.6925948,-458.5453155,-160.451858,-243.4490005,-499.9741043,-191.5333207,-256.4098736,-223.880973,-574.4043234,-630.4005516,-259.748644,-219.8233465,-291.2963272,-256.2809537,-265.6075576,-396.5539913,-778.5144694,-727.9804958,-1251.403913,-262.283102,-619.4232011,-257.6075376
90,-997.4757066,-264.1281376,-213.5760829,-150.0190136,-505.2821606,-377.133175,-259.9525212,-364.2683695,-531.9286548,-424.0215675,-264.3309726,-528.0045148,-254.0256491,-211.0772079,-786.0728165,-450.5764452,-209.03862,-437.932614,-388.3522683,-312.8547097,-200.4698403,-326.8377013,-285.8243213,-609.2023394,-605.678751,-874.6904834,-1367.336593,-146.5980948,-345.0490363,-375.9593125
91,-913.4995601,-449.9376775,-283.970206,-237.7861395,-464.4968303,-261.2604662,-301.6819804,-456.1095919,-457.628066,-393.6123029,-421.3661711,-366.9822788,-232.0008189,-158.1258318,-422.6912039,-365.6673003,-330.483099,-387.7879558,-354.833519,-144.2209686,-222.5470162,-439.7687432,-521.5963781,-360.6656516,-550.3152615,-974.7835541,-1334.290316,-191.1170717,-556.8646239,-205.4677566
92,-1017.484876,-624.4189745,-446.6709625,-198.283021,-449.5460385,-348.0753848,-1130.382878,-224.5499456,-496.4921802,-483.0459914,-406.6990304,-234.174241,-465.7778495,-237.6433403,-391.4890907,-258.540984,-291.2668546,-560.2974667,-235.5420917,-600.7978763,-191.2581064,-701.360855,-527.1114645,-539.1305474,-644.0874636,-1053.7006,-1303.3923,-561.5377944,-161.4853289,-697.5038681
93,-1099.998568,-711.5103103,-567.2125904,-190.2875026,-407.4449655,-621.0833672,-789.3454223,-465.9791898,-626.1843373,-668.4124362,-562.7536001,-195.1350463,-278.3391683,-173.2797112,-307.4548863,-591.265646,-542.1322751,-353.5406456,-374.5765859,-306.6904922,-484.4877164,-272.1517738,-501.0043609,-508.6267283,-741.7946593,-1194.961416,-1222.129048,-384.7947078,-159.6811828,-462.4596481
94,-850.139076,-1064.243076,-757.7209161,-281.86393,-442.4568978,-673.5823405,-244.6280698,-238.9110234,-605.8505267,-707.9456025,-207.0059758,-241.5231191,-207.0721688,-566.7417025,-749.5314269,-624.0447487,-650.9762107,-146.1822411,-210.530339,-261.3055287,-322.9878214,-301.6140667,-660.9831576,-642.9557955,-688.4349757,-1247.510535,-1316.346809,-240.1938507,-138.8619975,-260.8754512
95,-808.347354,-903.1171124,-464.8163991,-253.8271585,-525.961585,-374.8592708,-233.4576356,-367.1784112,-716.572483,-543.9260118,-175.9466207,-485.7906939,-402.9177152,-548.6182747,-361.9060198,-307.6666629,-348.6363764,-273.4442559,-310.0579386,-356.4355608,-397.944403,-409.4070321,-501.9188674,-510.2102252,-421.6882982,-1239.935931,-1284.588313,-247.7862388,-149.2677131,-384.4640145
96,-954.0021936,-773.3527497,-493.2467418,-253.3813866,-553.5825527,-330.9352371,-125.7302715,-719.3334546,-667.049996,-589.6329562,-217.3053904,-179.0915459,-323.6061072,-367.0547685,-206.3598126,-420.882668,-411.3932679,-662.8667213,-449.8097337,-609.7226319,-242.9518044,-226.9435762,-454.4662535,-586.3903141,-598.9055935,-1178.037856,-1275.286503,-289.5507082,-401.2994255,-221.6290049
97,-716.9321294,-635.6910944,-652.8128782,-435.9661636,-463.9695428,-843.6490932,-472.5606775,-486.7940557,-597.7817217,-673.2699266,-302.9691114,-216.3013437,-232.818969,-162.8532643,-318.3076862,-260.4113883,-387.5378411,-392.7863615,-522.6467525,-238.7917426,-373.944527,-469.2498515,-298.9154886,-425.3299378,-165.8360214,-1124.196343,-1167.400125,-238.0662682,-432.6542192,-476.6904828
98,-782.0186209,-854.4199942,-247.7827732,-271.8472264,-440.3813716,-882.0528067,-431.2004906,-622.2739555,-794.9372293,-645.6964102,-281.1608123,-194.1596432,-200.7095101,-286.9436609,-141.826023,-456.6512944,-486.4066588,-500.2555339,-361.8957149,-282.8303772,-150.779152,-274.4479505,-747.1271345,-466.7798292,-598.8675071,-619.9754197,-637.2532024,-368.1928795,-411.0941689,-287.8032346
99,-632.9189142,-868.4970302,-339.9599171,-256.6646809,-493.4101797,-757.4601049,-261.7301492,-319.7357795,-817.2591823,-557.2645542,-223.935656,-211.0755277,-161.6470755,-293.0932608,-215.1492556,-273.0024371,-448.2181454,-213.3342641,-412.8776654,-349.6331397,-679.2273336,-243.3127166,-374.834752,-351.8643358,-317.889519,-540.4855241,-512.4976489,-364.4367165,-252.6755489,-207.1167758
100,-688.671077,-644.5939172,-833.5226189,-375.5847008,-728.4394122,-408.6995315,-171.4157116,-318.5096714,-550.4499262,-677.6182677,-188.7543729,-225.7448543,-190.1252669,-184.2918534,-296.5290078,-221.6294413,-681.8534512,-350.8824,-402.5111707,-242.2006318,-821.9996363,-188.0070675,-437.5140933,-126.8131392,-338.8674848,-232.2265968,-597.1693838,-285.0044713,-185.5040127,-189.7655185
101,-962.1805986,-572.8986025,-694.3191184,-459.5480136,-546.8289042,-866.18955,-246.5930891,-295.2323246,-571.1723429,-724.4693856,-227.2728748,-321.2189107,-196.4168189,-319.7906078,-419.8182146,-374.0252237,-577.4643234,-290.305528,-453.5032574,-216.1073889,-390.6801307,-145.9863553,-362.1654643,-236.5058352,-345.110303,-590.1958469,-608.5453199,-241.8623731,-230.772249,-325.2009259
102,-762.4347584,-686.2864581,-991.4001125,-143.7072205,-293.4390332,-676.5763294,-257.8192366,-240.16439,-410.1995477,-273.0712778,-212.3696386,-249.4531504,-308.1240063,-289.2897308,-277.8995733,-347.8493545,-797.8347241,-411.0621587,-451.5369422,-299.376349,-451.2828027,-213.685688,-193.7873864,-360.1094534,-348.5787763,-1013.452207,-1053.88695,-285.3879531,-421.763787,-318.1453238
103,-1053.238016,-575.4180603,-373.4597959,-263.2761667,-161.7503301,-681.9477729,-182.1928391,-192.7965875,-606.3870401,-694.0418214,-143.5170817,-195.5677867,-250.1895541,-275.7631548,-304.4942508,-342.4156072,-787.2931141,-719.3242554,-409.339553,-417.7943912,-385.0986466,-222.3272222,-469.3608949,-328.4856404,-267.2576783,-818.6422892,-505.5497867,-347.5300956,-126.9405686,-248.4393668
104,-900.4798627,-594.4902682,-518.9883376,-325.7809291,-330.167572,-670.3621878,-474.4293907,-260.2629554,-1030.482412,-738.3573265,-173.3566305,-385.2165507,-256.8665773,-420.806365,-517.2406891,-347.0559313,-852.9723383,-144.7588462,-502.304668,-373.1328903,-385.6675067,-190.6208415,-579.0079945,-254.1630872,-276.585947,-1072.926514,-186.8004574,-357.9315522,-199.7087506,-289.8744801
105,-690.1656202,-726.8976042,-271.154786,-240.2879875,-590.8627591,-443.8533768,-369.5787343,-412.9517237,-439.969061,-557.4743846,-295.8781626,-212.9683493,-318.1526833,-380.3912297,-324.8190892,-267.8128884,-661.5767987,-292.3476862,-621.3332978,-320.4591582,-402.9718267,-240.3293354,-113.3226538,-348.6308937,-294.4136396,-1070.841685,-709.0892146,-364.8745633,-436.8298002,-646.8203183
106,-913.3593124,-599.1678598,-351.2493567,-240.3796603,-391.0766461,-249.0257747,-241.8216488,-606.4228703,-412.6554633,-772.9786116,-231.098677,-230.6214985,-377.2027812,-301.607439,-268.1568372,-236.3735654,-885.9849652,-213.2084687,-468.7476516,-240.475534,-467.2503354,-262.6747867,-228.3640875,-331.7149747,-489.8767883,-812.1667951,-396.0029611,-331.0380401,-502.9205155,-242.8864153
107,-760.495579,-449.2337576,-342.1569529,-442.0525228,-260.7413566,-422.9137039,-427.7591095,-615.5825246,-361.6615451,-800.665778,-196.2104606,-479.8442502,-579.2256634,-213.2743509,-481.3061256,-346.1400219,-477.9398701,-319.3607545,-580.939544,-384.1661486,-275.3720208,-223.2453574,-545.5240351,-302.6799168,-276.3846032,-701.4574017,-384.9627967,-416.7697585,-459.4174105,-421.1403902
108,-849.4033246,-630.0717594,-333.7323401,-237.6717554,-378.8778522,-705.6049242,-228.3238342,-598.6890643,-456.729541,-605.1930511,-204.2841381,-372.8434554,-439.2505148,-231.6246591,-331.6259352,-298.6400838,-852.9900177,-346.9606632,-279.6540826,-259.4971358,-192.7256746,-224.6225385,-228.847604,-278.7924459,-572.5119721,-826.2122195,-678.2071362,-778.5046743,-664.368507,-221.6509637
109,-689.3775798,-587.3798944,-598.8635238,-296.547144,-271.8190321,-880.4394287,-339.1564326,-812.9790859,-281.1098529,-664.87353,-250.7029558,-269.0622821,-395.9945142,-165.0374212,-474.2416144,-740.0726617,-591.6487109,-339.7432498,-208.8220076,-224.3425241,-349.167043,-341.829686,-254.058392,-358.1448439,-282.6410588,-986.5792424,-862.236432,-296.9083919,-145.3593998,-220.5800884
110,-605.4628662,-992.3296415,-937.4499519,-409.1739193,-242.0283599,-637.6531205,-226.9865893,-292.7675661,-514.5316573,-507.3151152,-190.6519093,-275.3892769,-225.303703,-216.098252,-543.676089,-514.5993975,-955.3357074,-242.161951,-294.7936835,-189.2672013,-255.8331901,-364.5441253,-263.5019585,-502.2779996,-394.9729979,-1017.266443,-761.8131414,-624.7572188,-288.8056201,-188.4235657
111,-522.5145338,-845.2511225,-856.8789483,-175.0270282,-243.0728834,-513.1056809,-195.8908709,-181.5924425,-601.4396181,-467.368933,-217.6145992,-327.5434301,-410.4750774,-224.5875869,-576.8321396,-458.0641604,-916.2495296,-335.709456,-378.1769676,-271.9385772,-417.6986607,-450.0833636,-244.8784465,-331.3804299,-288.7331199,-864.0879305,-727.1067261,-437.6334423,-395.1936203,-175.6973227
112,-454.7708756,-942.5347386,-478.7420995,-471.3602749,-215.2399712,-521.1322514,-259.6004731,-249.0203132,-383.600287,-642.3604093,-192.0463418,-250.6536053,-257.9212532,-332.6429547,-388.9453471,-529.2796942,-868.1078264,-227.2112913,-296.9719229,-190.3832077,-312.1998305,-161.6190241,-387.6859641,-280.7803056,-298.0293992,-845.3342415,-948.9130636,-295.0773641,-158.5771602,-384.8958721
113,-407.8192927,-923.8735553,-546.0683877,-257.1785153,-341.1975362,-695.5073773,-310.2924699,-172.8839596,-563.7019641,-547.1676731,-209.1579712,-320.2324871,-347.7871484,-212.963676,-252.5857728,-766.9645316,-793.2013674,-325.227306,-279.7848288,-196.8031101,-405.947168,-314.2148345,-561.6897009,-210.4996652,-345.05875,-365.2138714,-1031.152541,-453.2207729,-139.009424,-954.7909586
114,-176.883101,-582.0424603,-524.3490525,-193.0665411,-412.0894383,-377.2490784,-278.8973741,-241.7878754,-603.5924598,-644.8992558,-279.7419243,-293.4620588,-176.9460819,-277.5143955,-371.2522797,-503.8054704,-573.13447,-339.5879669,-344.1367528,-243.2187128,-485.1287186,-308.4127026,-227.0007979,-204.7968163,-266.971451,-738.744077,-1020.58761,-160.6719712,-227.2669475,-350.0913248
115,-198.5796372,-725.0165666,-840.7149661,-275.8939695,-179.0775466,-279.2529421,-231.1596376,-242.2016955,-587.2301826,-860.743717,-520.9649518,-228.6065782,-276.4653647,-413.4925646,-311.1405053,-393.1068696,-952.6125725,-326.0531921,-197.7596222,-559.4582969,-283.867337,-501.9664877,-368.9498538,-293.158415,-293.5138652,-507.9190992,-770.6864915,-437.490915,-486.4783969,-185.0210417
116,-169.170437,-800.4188504,-239.7441168,-405.2790918,-513.695164,-367.5400808,-269.1740878,-203.6129955,-508.9007725,-828.7517525,-221.4405475,-329.9566661,-305.1309878,-810.1028537,-330.5036725,-311.879266,-734.8352405,-595.8205826,-390.7100877,-949.2482339,-581.6193789,-233.8593663,-191.7860779,-269.4570156,-405.5423214,-386.1242876,-1090.812412,-194.6742828,-178.0950735,-184.2401449
117,-304.1364592,-1238.558836,-345.8859941,-383.9316673,-503.0594325,-506.5800312,-277.3541417,-254.0907213,-401.4762422,-936.6317783,-329.3151746,-585.0087238,-404.8317947,-382.6510609,-495.0893032,-243.7904869,-299.7340527,-734.43183,-354.9332047,-1150.636402,-507.5190287,-318.4071927,-265.9611804,-306.3988671,-608.0298636,-743.7584306,-1105.289191,-434.8484744,-235.5333201,-403.1808838
118,-231.5500221,-1045.568374,-328.5332306,-506.4991786,-425.1266601,-402.8551162,-310.4571389,-281.6917896,-540.6244587,-901.4458696,-495.5556508,-287.6613924,-401.9845244,-257.5927656,-523.6373727,-209.6070784,-222.9354547,-620.2916539,-129.9408568,-1124.594256,-709.0949291,-273.7378207,-406.7090498,-276.479892,-880.3775041,-705.0959055,-1242.975597,-360.4539369,-786.0775093,-302.9952475
