batch,1bywtyit - Epoch-avg,vu34gyi1 - Epoch-avg,35ewr2m4 - Epoch-avg,138weaxs - Epoch-avg,1zt6hb43 - Epoch-avg,22z8shhy - Epoch-avg,2zxkst26 - Epoch-avg,2ryzif8c - Epoch-avg,36blf63y - Epoch-avg,8wyktzlh - Epoch-avg,1s7nfp0b - Epoch-avg,15nku9xl - Epoch-avg,1u1xoo37 - Epoch-avg,1s7ld0pu - Epoch-avg,2k1oz4dz - Epoch-avg,6ncyjzmb - Epoch-avg,348b2r32 - Epoch-avg,3mqhpm00 - Epoch-avg,1ipa2ne1 - Epoch-avg,qbgaumvc - Epoch-avg,3ip2ef46 - Epoch-avg,32c0cvvg - Epoch-avg,3jnbgfe3 - Epoch-avg,2k2z0ni1 - Epoch-avg,2chs2lzc - Epoch-avg,2eli0yzn - Epoch-avg
15,-1109.790426,-1098.726911,-1143.979035,-1100.854404,-1287.327536,-926.1697917,-1125.720408,-1268.888192,-1188.193692,-1089.244251,-1124.068438,-1076.186971,-1107.114731,-1206.527572,-1146.297149,-1188.947334,-1106.453583,-1061.830897,-1128.762256,-1072.749681,-1180.337068,-1078.671939,-1141.802127,-1056.316011,-1110.464208,-1160.907159
16,-1163.303689,-1199.338139,-1090.172126,-1032.048724,-1056.94143,-1079.507624,-1245.278384,-1089.608466,-1224.493498,-1100.378852,-1090.115101,-1190.446171,-1171.045173,-915.4971435,-1146.664965,-1030.347129,-1175.425393,-1083.19964,-1011.704279,-1085.686829,-1129.648288,-1028.789559,-1096.779864,-1108.224034,-1234.388078,-1092.554826
17,-1157.64129,-1146.219962,-1182.17137,-1100.04027,-1089.706412,-1097.245958,-1120.30733,-1158.406895,-1144.034698,-995.4518279,-1052.864796,-1170.256467,-1165.083633,-1032.500108,-1076.455632,-876.1395069,-1182.592628,-1124.724063,-905.3880187,-1134.587575,-1034.42768,-954.6992304,-1132.27942,-1005.639827,-1113.145472,-1162.703681
18,-1132.859555,-1151.913189,-1133.352452,-883.3603633,-1166.587785,-1170.372166,-1028.565049,-1087.69201,-1050.287835,-995.1395883,-1000.823901,-1058.762598,-1028.465181,-1070.111503,-999.3677311,-961.9936643,-1056.584466,-1097.789533,-907.2780715,-947.0924591,-1081.059373,-926.9312974,-937.030182,-1125.793113,-1107.454096,-1135.000389
19,-1171.760417,-1131.002534,-992.8220371,-1078.267737,-1025.360883,-1054.926848,-1179.333949,-910.9974362,-1104.863954,-980.4451296,-1005.459519,-1050.875849,-939.1835347,-1085.757358,-886.4228235,-993.1813347,-1085.048614,-891.7229784,-1017.234048,-977.4439373,-932.7719233,-981.4295601,-980.0192658,-952.2748882,-1060.554823,-892.4164869
20,-1080.456312,-1029.212764,-1020.787056,-966.639729,-853.4360206,-919.3895594,-1177.514658,-1015.305172,-1022.409171,-997.1900384,-805.2939344,-1114.76453,-940.3036338,-1083.19656,-1051.498389,-881.9287099,-1002.556163,-1012.218464,-964.9965824,-940.2988332,-1024.83316,-911.4929372,-891.619524,-903.2548823,-940.6484493,-925.4420837
21,-1018.424073,-1081.322941,-885.8690249,-1076.410891,-976.0438506,-1127.549889,-966.2220263,-929.490567,-1206.751103,-1004.43976,-862.1956848,-914.7795895,-1227.723094,-994.7709126,-995.5093071,-695.2010319,-1171.836348,-755.8450789,-1088.091596,-1030.46981,-963.7149365,-735.0221049,-852.5403618,-936.2667359,-993.2311402,-818.594167
22,-1126.873813,-1007.48415,-929.2585939,-973.586486,-896.1264815,-902.2421245,-1043.741177,-898.2062368,-834.670078,-791.4999206,-883.5334091,-964.1803462,-1110.49873,-875.8703372,-744.2650262,-921.559172,-942.6622903,-783.6818943,-819.5510248,-820.2012882,-846.8035925,-672.9448036,-741.3775924,-756.6130283,-965.6199978,-882.4511436
23,-1017.588455,-851.8156263,-777.0563368,-736.3159161,-966.5132116,-814.7037498,-960.7571233,-916.0826259,-976.0580248,-970.0122763,-805.23285,-856.1507689,-822.0921004,-912.8951264,-1051.422315,-1220.946578,-1080.416602,-730.3540382,-868.9026113,-1012.236428,-860.9924142,-693.8442448,-674.2283767,-916.2881421,-1059.591393,-861.8460033
24,-1019.539187,-1063.674097,-828.5036853,-970.6566337,-875.8644295,-1007.549589,-1048.36208,-811.5995425,-1176.867914,-1019.279608,-902.1587866,-772.915213,-790.8005157,-913.2091575,-918.7299828,-821.1797493,-712.7653237,-697.4989382,-708.1429993,-843.0046677,-908.5834796,-748.0501127,-761.7891814,-970.4263745,-922.6029331,-706.750257
25,-1066.674634,-872.8045718,-849.5349479,-825.1190697,-799.2976117,-837.9140008,-855.818221,-781.3456867,-967.7269618,-873.1421994,-668.3324351,-916.9666868,-702.691083,-971.3500719,-781.6192546,-598.1624631,-824.0960817,-945.9791942,-715.3332674,-738.5973993,-745.278168,-770.6252529,-687.5700484,-805.5025195,-803.589531,-852.2227153
26,-946.9379967,-1027.284431,-756.9460262,-829.6721807,-1152.353099,-835.6651884,-969.1347833,-727.8759916,-660.4765783,-778.1693168,-647.5747099,-785.6322879,-699.9079902,-694.6458146,-665.3148698,-633.0633662,-656.147847,-757.620517,-881.6003166,-821.5484845,-720.227113,-843.2190419,-529.5572611,-792.247868,-838.9794106,-831.2715064
27,-940.2523772,-841.8445671,-770.9959936,-950.0185643,-924.0136418,-789.409974,-769.8768319,-566.9818785,-968.4040389,-782.5782994,-674.7612849,-719.9523983,-640.1691178,-840.7011628,-934.1263897,-679.5465373,-649.063795,-597.6034427,-728.8620985,-608.708791,-699.1179298,-645.267387,-422.5656563,-934.2249077,-921.1052231,-614.0566699
28,-935.908906,-965.8546581,-754.4455147,-872.7905293,-664.8373369,-668.0377411,-848.821295,-657.203585,-727.7818812,-738.6082155,-895.922971,-894.4772955,-723.2917425,-785.0704398,-698.6632126,-772.8600328,-497.8856478,-802.3571795,-839.8506103,-471.2423335,-544.6960665,-595.1470298,-568.8355443,-901.2209492,-667.6181851,-611.2382984
29,-833.9880903,-695.1392356,-770.5928637,-727.3226608,-671.1612669,-508.1453542,-775.09013,-757.4092295,-419.9981165,-731.2204991,-637.2647491,-701.3015601,-595.9372526,-661.0604515,-607.8135523,-783.4064598,-390.5842962,-589.5027416,-775.6971196,-658.9186291,-501.376721,-565.6587207,-419.325086,-710.8883243,-687.3408327,-581.1793245
30,-957.402702,-639.440274,-700.0094527,-715.2272951,-1003.014955,-478.1874522,-890.5867291,-630.1168897,-402.0559822,-691.609904,-677.6027911,-764.5750543,-651.7825666,-743.7249469,-773.2187355,-730.7365908,-666.2379649,-585.985563,-720.7461998,-648.6255331,-491.1071772,-431.247537,-540.8079719,-522.2914168,-677.6643431,-524.4882734
31,-871.2961051,-573.961421,-703.3094728,-725.5124118,-519.0758608,-544.6527849,-818.2845417,-664.6624785,-561.3831241,-702.4106296,-629.045311,-618.9316349,-586.7599736,-588.1002,-633.8304292,-570.4767914,-525.559439,-633.6476379,-597.4084078,-353.2160168,-420.5192878,-694.3709718,-369.1897837,-610.8565534,-717.0089509,-640.0057513
32,-930.5385,-667.092617,-764.0999751,-642.4689623,-686.7869347,-607.1833395,-1020.956349,-701.2997515,-495.6281389,-675.5715451,-699.5925561,-739.4744299,-571.1566011,-672.6881585,-671.1344942,-453.9604174,-366.8384107,-634.3525915,-694.1496026,-619.2733213,-586.6147361,-697.6315826,-494.4506296,-573.2837069,-679.2054987,-426.3828549
